industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Data Science,Lead Data Scientist,Senior,8,"['Big Data', 'SQL', 'Scikit-learn', 'Python', 'Spark', 'Pandas', 'Machine Learning', 'TensorFlow']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Big Data, SQL, Scikit-learn, Python, Spark, Pandas, Machine Learning, TensorFlow. Key Skills: Big Data, SQL, Scikit-learn, Python, Spark, Pandas, Machine Learning, TensorFlow. Key Skills: Big Data, SQL, Scikit-learn, Python, Spark, Pandas, Machine Learning, TensorFlow. "
Product Management,Senior Product Manager,Senior,10,"['Scrum', 'JIRA', 'Product Strategy', 'A/B Testing', 'User Research', 'Agile']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 10 years. Key Skills: Scrum, JIRA, Product Strategy, A/B Testing, User Research, Agile. Key Skills: Scrum, JIRA, Product Strategy, A/B Testing, User Research, Agile. Key Skills: Scrum, JIRA, Product Strategy, A/B Testing, User Research, Agile. "
Software Engineering,Staff Software Engineer,Lead/Principal,8,"['SQL', 'JavaScript', 'Docker', 'Microservices', 'Kubernetes', 'Java', 'C++']","['AWS Certified Developer', 'Certified Kubernetes Application Developer (CKAD)']","Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 8 years. Key Skills: SQL, JavaScript, Docker, Microservices, Kubernetes, Java, C++. Key Skills: SQL, JavaScript, Docker, Microservices, Kubernetes, Java, C++. Key Skills: SQL, JavaScript, Docker, Microservices, Kubernetes, Java, C++. Relevant Certifications: AWS Certified Developer, Certified Kubernetes Application Developer (CKAD). "
Product Management,Director of Product,Mid-Level,2,"['Roadmapping', 'Product Strategy', 'A/B Testing', 'Agile']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Mid-Level Career Level: Mid-Level Industry: Product Management Industry: Product Management Years of Experience: approximately 2 years. Key Skills: Roadmapping, Product Strategy, A/B Testing, Agile. Key Skills: Roadmapping, Product Strategy, A/B Testing, Agile. Key Skills: Roadmapping, Product Strategy, A/B Testing, Agile. "
Cybersecurity,Penetration Tester,Mid-Level,4,"['Malware Analysis', 'Network Security', 'Cryptography', 'Intrusion Detection', 'Ethical Hacking', 'ISO 27001']","['Certified Ethical Hacker (CEH)', 'Certified Information Systems Security Professional (CISSP)']","Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: Malware Analysis, Network Security, Cryptography, Intrusion Detection, Ethical Hacking, ISO 27001. Key Skills: Malware Analysis, Network Security, Cryptography, Intrusion Detection, Ethical Hacking, ISO 27001. Key Skills: Malware Analysis, Network Security, Cryptography, Intrusion Detection, Ethical Hacking, ISO 27001. Relevant Certifications: Certified Ethical Hacker (CEH), Certified Information Systems Security Professional (CISSP). "
Product Management,Product Manager,Manager,20,"['Market Analysis', 'Scrum', 'JIRA', 'User Research', 'A/B Testing']",['Pragmatic Marketing Certified (PMC)'],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 20 years. Key Skills: Market Analysis, Scrum, JIRA, User Research, A/B Testing. Key Skills: Market Analysis, Scrum, JIRA, User Research, A/B Testing. Key Skills: Market Analysis, Scrum, JIRA, User Research, A/B Testing. Relevant Certifications: Pragmatic Marketing Certified (PMC). "
Cybersecurity,Penetration Tester,Mid-Level,2,"['SIEM', 'Cryptography', 'Intrusion Detection', 'Ethical Hacking']",[],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: SIEM, Cryptography, Intrusion Detection, Ethical Hacking. Key Skills: SIEM, Cryptography, Intrusion Detection, Ethical Hacking. Key Skills: SIEM, Cryptography, Intrusion Detection, Ethical Hacking. "
Software Engineering,Software Engineer,Entry,0,"['SQL', 'Microservices', 'AWS', 'React', 'Go', 'Python']",['AWS Certified Developer'],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 0 years. Key Skills: SQL, Microservices, AWS, React, Go, Python. Key Skills: SQL, Microservices, AWS, React, Go, Python. Key Skills: SQL, Microservices, AWS, React, Go, Python. Relevant Certifications: AWS Certified Developer. "
Cloud Engineering,DevOps Engineer,Entry,1,"['Azure', 'Terraform', 'Grafana', 'AWS', 'CI/CD']","['Microsoft Certified: Azure Administrator', 'Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: Azure, Terraform, Grafana, AWS, CI/CD. Key Skills: Azure, Terraform, Grafana, AWS, CI/CD. Key Skills: Azure, Terraform, Grafana, AWS, CI/CD. Relevant Certifications: Microsoft Certified: Azure Administrator, Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA). "
Cloud Engineering,Site Reliability Engineer (SRE),Mid-Level,5,"['Ansible', 'Azure', 'Kubernetes', 'Docker', 'Jenkins']",[],"Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Ansible, Azure, Kubernetes, Docker, Jenkins. Key Skills: Ansible, Azure, Kubernetes, Docker, Jenkins. Key Skills: Ansible, Azure, Kubernetes, Docker, Jenkins. "
Software Engineering,Software Engineer,Entry,0,"['Python', 'PostgreSQL', 'Go', 'JavaScript', 'MongoDB', 'AWS', 'Java']",[],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 0 years. Key Skills: Python, PostgreSQL, Go, JavaScript, MongoDB, AWS, Java. Key Skills: Python, PostgreSQL, Go, JavaScript, MongoDB, AWS, Java. Key Skills: Python, PostgreSQL, Go, JavaScript, MongoDB, AWS, Java. "
Cybersecurity,Penetration Tester,Mid-Level,2,"['ISO 27001', 'SIEM', 'Intrusion Detection', 'Malware Analysis', 'Ethical Hacking', 'Network Security', 'Cryptography', 'Firewalls']",[],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: ISO 27001, SIEM, Intrusion Detection, Malware Analysis, Ethical Hacking, Network Security, Cryptography, Firewalls. Key Skills: ISO 27001, SIEM, Intrusion Detection, Malware Analysis, Ethical Hacking, Network Security, Cryptography, Firewalls. Key Skills: ISO 27001, SIEM, Intrusion Detection, Malware Analysis, Ethical Hacking, Network Security, Cryptography, Firewalls. "
Cloud Engineering,DevOps Engineer,Entry,2,"['Prometheus', 'Docker', 'Jenkins', 'Ansible', 'AWS', 'Azure']","['Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect', 'Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Prometheus, Docker, Jenkins, Ansible, AWS, Azure. Key Skills: Prometheus, Docker, Jenkins, Ansible, AWS, Azure. Key Skills: Prometheus, Docker, Jenkins, Ansible, AWS, Azure. Relevant Certifications: Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect, Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect. "
Cloud Engineering,DevOps Engineer,Entry,2,"['Docker', 'AWS', 'Jenkins', 'Grafana']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Docker, AWS, Jenkins, Grafana. Key Skills: Docker, AWS, Jenkins, Grafana. Key Skills: Docker, AWS, Jenkins, Grafana. "
Cloud Engineering,Cloud Architect,Mid-Level,2,"['Grafana', 'GCP', 'AWS', 'Kubernetes']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Grafana, GCP, AWS, Kubernetes. Key Skills: Grafana, GCP, AWS, Kubernetes. Key Skills: Grafana, GCP, AWS, Kubernetes. "
Cloud Engineering,DevOps Engineer,Mid-Level,2,"['CI/CD', 'Terraform', 'Jenkins', 'Ansible']","['Microsoft Certified: Azure Administrator', 'Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: CI/CD, Terraform, Jenkins, Ansible. Key Skills: CI/CD, Terraform, Jenkins, Ansible. Key Skills: CI/CD, Terraform, Jenkins, Ansible. Relevant Certifications: Microsoft Certified: Azure Administrator, Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Cloud Engineering,DevOps Engineer,Entry,1,"['Ansible', 'CI/CD', 'Kubernetes', 'Terraform', 'Azure']","['Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: Ansible, CI/CD, Kubernetes, Terraform, Azure. Key Skills: Ansible, CI/CD, Kubernetes, Terraform, Azure. Key Skills: Ansible, CI/CD, Kubernetes, Terraform, Azure. Relevant Certifications: Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Product Management,Group Product Manager,Manager,7,"['A/B Testing', 'Market Analysis', 'Roadmapping', 'Agile', 'Product Strategy']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: A/B Testing, Market Analysis, Roadmapping, Agile, Product Strategy. Key Skills: A/B Testing, Market Analysis, Roadmapping, Agile, Product Strategy. Key Skills: A/B Testing, Market Analysis, Roadmapping, Agile, Product Strategy. "
Cybersecurity,Security Analyst,Entry,0,"['Ethical Hacking', 'SIEM', 'ISO 27001', 'Cryptography', 'Network Security', 'Firewalls', 'Intrusion Detection']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: Ethical Hacking, SIEM, ISO 27001, Cryptography, Network Security, Firewalls, Intrusion Detection. Key Skills: Ethical Hacking, SIEM, ISO 27001, Cryptography, Network Security, Firewalls, Intrusion Detection. Key Skills: Ethical Hacking, SIEM, ISO 27001, Cryptography, Network Security, Firewalls, Intrusion Detection. "
Data Science,Senior Data Scientist,Senior,7,"['Scikit-learn', 'PyTorch', 'R', 'Statistics', 'Python', 'Big Data', 'TensorFlow', 'Machine Learning']","['Google Professional Data Engineer', 'TensorFlow Developer Certificate']","Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: Scikit-learn, PyTorch, R, Statistics, Python, Big Data, TensorFlow, Machine Learning. Key Skills: Scikit-learn, PyTorch, R, Statistics, Python, Big Data, TensorFlow, Machine Learning. Key Skills: Scikit-learn, PyTorch, R, Statistics, Python, Big Data, TensorFlow, Machine Learning. Relevant Certifications: Google Professional Data Engineer, TensorFlow Developer Certificate. "
Cybersecurity,Penetration Tester,Mid-Level,5,"['ISO 27001', 'Cryptography', 'Ethical Hacking', 'Malware Analysis', 'SIEM']",[],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: ISO 27001, Cryptography, Ethical Hacking, Malware Analysis, SIEM. Key Skills: ISO 27001, Cryptography, Ethical Hacking, Malware Analysis, SIEM. Key Skills: ISO 27001, Cryptography, Ethical Hacking, Malware Analysis, SIEM. "
Cloud Engineering,DevOps Engineer,Entry,0,"['GCP', 'Docker', 'Kubernetes', 'Jenkins', 'Prometheus', 'Ansible', 'AWS', 'CI/CD']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: GCP, Docker, Kubernetes, Jenkins, Prometheus, Ansible, AWS, CI/CD. Key Skills: GCP, Docker, Kubernetes, Jenkins, Prometheus, Ansible, AWS, CI/CD. Key Skills: GCP, Docker, Kubernetes, Jenkins, Prometheus, Ansible, AWS, CI/CD. "
Software Engineering,Senior Software Engineer,Senior,9,"['PostgreSQL', 'Python', 'Node.js', 'Kubernetes', 'System Design', 'Microservices', 'Docker']",['AWS Certified Developer'],"Job Title: Senior Software Engineer Job Title: Senior Software Engineer Job Title: Senior Software Engineer Career Level: Senior Career Level: Senior Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 9 years. Key Skills: PostgreSQL, Python, Node.js, Kubernetes, System Design, Microservices, Docker. Key Skills: PostgreSQL, Python, Node.js, Kubernetes, System Design, Microservices, Docker. Key Skills: PostgreSQL, Python, Node.js, Kubernetes, System Design, Microservices, Docker. Relevant Certifications: AWS Certified Developer. "
Software Engineering,Software Engineer,Mid-Level,5,"['JavaScript', 'Node.js', 'Python', 'React', 'C++', 'Docker', 'MongoDB', 'PostgreSQL']",[],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 5 years. Key Skills: JavaScript, Node.js, Python, React, C++, Docker, MongoDB, PostgreSQL. Key Skills: JavaScript, Node.js, Python, React, C++, Docker, MongoDB, PostgreSQL. Key Skills: JavaScript, Node.js, Python, React, C++, Docker, MongoDB, PostgreSQL. "
Data Science,Lead Data Scientist,Senior,10,"['R', 'Spark', 'Big Data', 'Pandas', 'PyTorch', 'Data Mining', 'SQL']",['TensorFlow Developer Certificate'],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 10 years. Key Skills: R, Spark, Big Data, Pandas, PyTorch, Data Mining, SQL. Key Skills: R, Spark, Big Data, Pandas, PyTorch, Data Mining, SQL. Key Skills: R, Spark, Big Data, Pandas, PyTorch, Data Mining, SQL. Relevant Certifications: TensorFlow Developer Certificate. "
Software Engineering,Engineering Manager,Manager,12,"['C++', 'PostgreSQL', 'System Design', 'MongoDB']",['AWS Certified Developer'],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: C++, PostgreSQL, System Design, MongoDB. Key Skills: C++, PostgreSQL, System Design, MongoDB. Key Skills: C++, PostgreSQL, System Design, MongoDB. Relevant Certifications: AWS Certified Developer. "
Product Management,Senior Product Manager,Senior,8,"['Scrum', 'JIRA', 'Roadmapping', 'User Research', 'Product Strategy', 'A/B Testing', 'Agile']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 8 years. Key Skills: Scrum, JIRA, Roadmapping, User Research, Product Strategy, A/B Testing, Agile. Key Skills: Scrum, JIRA, Roadmapping, User Research, Product Strategy, A/B Testing, Agile. Key Skills: Scrum, JIRA, Roadmapping, User Research, Product Strategy, A/B Testing, Agile. "
Cybersecurity,Penetration Tester,Mid-Level,2,"['Cryptography', 'Network Security', 'Firewalls', 'Ethical Hacking', 'Intrusion Detection', 'ISO 27001', 'SIEM', 'Malware Analysis']",[],"Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Cryptography, Network Security, Firewalls, Ethical Hacking, Intrusion Detection, ISO 27001, SIEM, Malware Analysis. Key Skills: Cryptography, Network Security, Firewalls, Ethical Hacking, Intrusion Detection, ISO 27001, SIEM, Malware Analysis. Key Skills: Cryptography, Network Security, Firewalls, Ethical Hacking, Intrusion Detection, ISO 27001, SIEM, Malware Analysis. "
Software Engineering,Software Engineer,Entry,1,"['Kubernetes', 'AWS', 'MongoDB', 'Node.js', 'Java', 'SQL', 'Go', 'System Design']",[],"Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 1 years. Key Skills: Kubernetes, AWS, MongoDB, Node.js, Java, SQL, Go, System Design. Key Skills: Kubernetes, AWS, MongoDB, Node.js, Java, SQL, Go, System Design. Key Skills: Kubernetes, AWS, MongoDB, Node.js, Java, SQL, Go, System Design. "
Cybersecurity,Security Engineer,Entry,2,"['Firewalls', 'Ethical Hacking', 'Cryptography', 'Malware Analysis', 'Network Security', 'Intrusion Detection', 'ISO 27001']","['Certified Information Systems Security Professional (CISSP)', 'CompTIA Security+', 'Certified Ethical Hacker (CEH)']","Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Firewalls, Ethical Hacking, Cryptography, Malware Analysis, Network Security, Intrusion Detection, ISO 27001. Key Skills: Firewalls, Ethical Hacking, Cryptography, Malware Analysis, Network Security, Intrusion Detection, ISO 27001. Key Skills: Firewalls, Ethical Hacking, Cryptography, Malware Analysis, Network Security, Intrusion Detection, ISO 27001. Relevant Certifications: Certified Information Systems Security Professional (CISSP), CompTIA Security+, Certified Ethical Hacker (CEH). "
Cloud Engineering,DevOps Engineer,Mid-Level,5,"['Ansible', 'Prometheus', 'Docker', 'Kubernetes']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Ansible, Prometheus, Docker, Kubernetes. Key Skills: Ansible, Prometheus, Docker, Kubernetes. Key Skills: Ansible, Prometheus, Docker, Kubernetes. "
Product Management,Director of Product,Entry,0,"['Roadmapping', 'Scrum', 'Product Strategy', 'User Research', 'A/B Testing', 'JIRA', 'Market Analysis', 'Agile']","['Pragmatic Marketing Certified (PMC)', 'Certified Scrum Product Owner (CSPO)']","Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 0 years. Key Skills: Roadmapping, Scrum, Product Strategy, User Research, A/B Testing, JIRA, Market Analysis, Agile. Key Skills: Roadmapping, Scrum, Product Strategy, User Research, A/B Testing, JIRA, Market Analysis, Agile. Key Skills: Roadmapping, Scrum, Product Strategy, User Research, A/B Testing, JIRA, Market Analysis, Agile. Relevant Certifications: Pragmatic Marketing Certified (PMC), Certified Scrum Product Owner (CSPO). "
Cybersecurity,Security Analyst,Entry,2,"['Cryptography', 'Intrusion Detection', 'ISO 27001', 'Network Security', 'Firewalls', 'Ethical Hacking', 'SIEM']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Cryptography, Intrusion Detection, ISO 27001, Network Security, Firewalls, Ethical Hacking, SIEM. Key Skills: Cryptography, Intrusion Detection, ISO 27001, Network Security, Firewalls, Ethical Hacking, SIEM. Key Skills: Cryptography, Intrusion Detection, ISO 27001, Network Security, Firewalls, Ethical Hacking, SIEM. "
Data Science,Lead Data Scientist,Senior,5,"['Python', 'NumPy', 'Spark', 'R', 'Scikit-learn']",['Google Professional Data Engineer'],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 5 years. Key Skills: Python, NumPy, Spark, R, Scikit-learn. Key Skills: Python, NumPy, Spark, R, Scikit-learn. Key Skills: Python, NumPy, Spark, R, Scikit-learn. Relevant Certifications: Google Professional Data Engineer. "
Cloud Engineering,Cloud Engineer,Mid-Level,2,"['Kubernetes', 'Terraform', 'Docker', 'Jenkins', 'CI/CD', 'Grafana', 'AWS']","['Microsoft Certified: Azure Administrator', 'Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Kubernetes, Terraform, Docker, Jenkins, CI/CD, Grafana, AWS. Key Skills: Kubernetes, Terraform, Docker, Jenkins, CI/CD, Grafana, AWS. Key Skills: Kubernetes, Terraform, Docker, Jenkins, CI/CD, Grafana, AWS. Relevant Certifications: Microsoft Certified: Azure Administrator, Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Data Science,Data Scientist,Entry,1,"['NumPy', 'R', 'Statistics', 'Pandas']",[],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Entry Career Level: Entry Industry: Data Science Industry: Data Science Years of Experience: approximately 1 years. Key Skills: NumPy, R, Statistics, Pandas. Key Skills: NumPy, R, Statistics, Pandas. Key Skills: NumPy, R, Statistics, Pandas. "
Cloud Engineering,Cloud Engineer,Entry,2,"['Ansible', 'Azure', 'Kubernetes', 'Terraform', 'Docker', 'Grafana']",[],"Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Ansible, Azure, Kubernetes, Terraform, Docker, Grafana. Key Skills: Ansible, Azure, Kubernetes, Terraform, Docker, Grafana. Key Skills: Ansible, Azure, Kubernetes, Terraform, Docker, Grafana. "
Cloud Engineering,DevOps Engineer,Entry,1,"['Kubernetes', 'Ansible', 'Docker', 'Terraform', 'CI/CD', 'Azure']","['AWS Certified Solutions Architect', 'Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)', 'Microsoft Certified: Azure Administrator']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: Kubernetes, Ansible, Docker, Terraform, CI/CD, Azure. Key Skills: Kubernetes, Ansible, Docker, Terraform, CI/CD, Azure. Key Skills: Kubernetes, Ansible, Docker, Terraform, CI/CD, Azure. Relevant Certifications: AWS Certified Solutions Architect, Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA), Microsoft Certified: Azure Administrator. "
Cloud Engineering,Cloud Engineer,Mid-Level,4,"['Grafana', 'Prometheus', 'Docker', 'AWS', 'Terraform', 'Kubernetes']",[],"Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 4 years. Key Skills: Grafana, Prometheus, Docker, AWS, Terraform, Kubernetes. Key Skills: Grafana, Prometheus, Docker, AWS, Terraform, Kubernetes. Key Skills: Grafana, Prometheus, Docker, AWS, Terraform, Kubernetes. "
Software Engineering,Engineering Manager,Manager,10,"['C++', 'Microservices', 'Python', 'MongoDB', 'PostgreSQL']",[],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: C++, Microservices, Python, MongoDB, PostgreSQL. Key Skills: C++, Microservices, Python, MongoDB, PostgreSQL. Key Skills: C++, Microservices, Python, MongoDB, PostgreSQL. "
Cybersecurity,Security Engineer,Entry,0,"['Ethical Hacking', 'Intrusion Detection', 'Malware Analysis', 'ISO 27001', 'Firewalls', 'Network Security', 'SIEM']",[],"Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Firewalls, Network Security, SIEM. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Firewalls, Network Security, SIEM. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Firewalls, Network Security, SIEM. "
Cybersecurity,Penetration Tester,Mid-Level,5,"['Network Security', 'SIEM', 'Cryptography', 'Intrusion Detection', 'Malware Analysis', 'Ethical Hacking']","['Certified Ethical Hacker (CEH)', 'Certified Information Systems Security Professional (CISSP)']","Job Title: Penetration Tester Job Title: Penetration Tester Job Title: Penetration Tester Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Network Security, SIEM, Cryptography, Intrusion Detection, Malware Analysis, Ethical Hacking. Key Skills: Network Security, SIEM, Cryptography, Intrusion Detection, Malware Analysis, Ethical Hacking. Key Skills: Network Security, SIEM, Cryptography, Intrusion Detection, Malware Analysis, Ethical Hacking. Relevant Certifications: Certified Ethical Hacker (CEH), Certified Information Systems Security Professional (CISSP). "
Product Management,Group Product Manager,Manager,7,"['Scrum', 'User Research', 'JIRA', 'Roadmapping']",[],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: Scrum, User Research, JIRA, Roadmapping. Key Skills: Scrum, User Research, JIRA, Roadmapping. Key Skills: Scrum, User Research, JIRA, Roadmapping. "
